airport_code,airport_name,city,coordinates,timezone
ULY,"{""en"": ""Ulyanovsk East Airport"", ""ru"": ""#;LO=>2A:->AB>G=K9""}","{""en"": ""Ulyanovsk"", ""ru"": ""#;LO=>2A:""}","(48.8027000427246094,54.4010009765625)",Europe/Samara
OSW,"{""en"": ""Orsk Airport"", ""ru"": ""@A:""}","{""en"": ""Orsk"", ""ru"": ""@A:""}","(58.5956001281738281,51.0724983215332031)",Asia/Yekaterinburg
PEZ,"{""en"": ""Penza Airport"", ""ru"": ""5=70""}","{""en"": ""Penza"", ""ru"": ""5=70""}","(45.0210990905761719,53.1105995178222656)",Europe/Moscow
SKX,"{""en"": ""Saransk Airport"", ""ru"": ""!0@0=A:""}","{""en"": ""Saransk"", ""ru"": ""!0@0=A:""}","(45.2122573852539062,54.1251296997070312)",Europe/Moscow
TBW,"{""en"": ""Donskoye Airport"", ""ru"": "">=A:>5""}","{""en"": ""Tambow"", ""ru"": """0<1>2""}","(41.4827995300289984,52.806098937987997)",Europe/Moscow
UKX,"{""en"": ""Ust-Kut Airport"", ""ru"": ""#ABL-CB""}","{""en"": ""Ust-Kut"", ""ru"": ""#ABL-CB""}","(105.730003356933594,56.8567008972167969)",Asia/Irkutsk
GDZ,"{""en"": ""Gelendzhik Airport"", ""ru"": ""5;5=468:""}","{""en"": ""Gelendzhik"", ""ru"": ""5;5=468:""}","(38.012480735799997,44.5820926295000035)",Europe/Moscow
IAR,"{""en"": ""Tunoshna Airport"", ""ru"": """C=>H=0""}","{""en"": ""Yaroslavl"", ""ru"": ""/@>A;02;L""}","(40.1573982238769531,57.560699462890625)",Europe/Moscow
NBC,"{""en"": ""Begishevo Airport"", ""ru"": ""538H52>""}","{""en"": ""Nizhnekamsk"", ""ru"": ""86=5:0<A:""}","(52.092498779296875,55.5647010803222656)",Europe/Moscow
ULV,"{""en"": ""Ulyanovsk Baratayevka Airport"", ""ru"": ""0@0B052:0""}","{""en"": ""Ulyanovsk"", ""ru"": ""#;LO=>2A:""}","(48.2266998291000064,54.2682991027999932)",Europe/Samara
SWT,"{""en"": ""Strezhevoy Airport"", ""ru"": ""!B@5652>9""}","{""en"": ""Strezhevoy"", ""ru"": ""!B@5652>9""}","(77.66000366210001,60.7094001769999991)",Asia/Krasnoyarsk
EYK,"{""en"": ""Beloyarskiy Airport"", ""ru"": ""5;>O@A:89""}","{""en"": ""Beloyarsky"", ""ru"": ""5;>O@A:89""}","(66.6986007689999951,63.6869010924999941)",Asia/Yekaterinburg
KLF,"{""en"": ""Grabtsevo Airport"", ""ru"": ""0;C30""}","{""en"": ""Kaluga"", ""ru"": ""0;C30""}","(36.3666687011999983,54.5499992371000033)",Europe/Moscow
RGK,"{""en"": ""Gorno-Altaysk Airport"", ""ru"": "">@=>-;B09A:""}","{""en"": ""Gorno-Altaysk"", ""ru"": "">@=>-;B09A:""}","(85.8332977295000035,51.9667015075999998)",Asia/Krasnoyarsk
KRR,"{""en"": ""Krasnodar Pashkovsky International Airport"", ""ru"": ""@0A=>40@""}","{""en"": ""Krasnodar"", ""ru"": ""@0A=>40@""}","(39.1705017089839984,45.0346984863279971)",Europe/Moscow
MCX,"{""en"": ""Uytash Airport"", ""ru"": ""#9B0H""}","{""en"": ""Makhachkala"", ""ru"": ""0E0G:0;0""}","(47.6523017883300781,42.8167991638183594)",Europe/Moscow
KZN,"{""en"": ""Kazan International Airport"", ""ru"": ""070=L""}","{""en"": ""Kazan"", ""ru"": ""070=L""}","(49.278701782227003,55.606201171875)",Europe/Moscow
REN,"{""en"": ""Orenburg Central Airport"", ""ru"": ""@5=1C@3-&5=B@0;L=K9""}","{""en"": ""Orenburg"", ""ru"": ""@5=1C@3""}","(55.4566993713378906,51.7957992553710938)",Asia/Yekaterinburg
UFA,"{""en"": ""Ufa International Airport"", ""ru"": ""#D0""}","{""en"": ""Ufa"", ""ru"": ""#D0""}","(55.8744010925289984,54.5574989318850001)",Asia/Yekaterinburg
OVB,"{""en"": ""Tolmachevo Airport"", ""ru"": """>;<0GQ2>""}","{""en"": ""Novosibirsk"", ""ru"": "">2>A818@A:""}","(82.6507034301759944,55.012599945067997)",Asia/Novosibirsk
CEE,"{""en"": ""Cherepovets Airport"", ""ru"": ""'5@5?>25F""}","{""en"": ""Cherepovets"", ""ru"": ""'5@5?>25F""}","(38.0158004761000043,59.2736015320000007)",Europe/Moscow
OMS,"{""en"": ""Omsk Central Airport"", ""ru"": ""<A:-&5=B@0;L=K9""}","{""en"": ""Omsk"", ""ru"": ""<A:""}","(73.3105010986328125,54.9669990539550781)",Asia/Omsk
ROV,"{""en"": ""Rostov-on-Don Airport"", ""ru"": "" >AB>2-=0->=C""}","{""en"": ""Rostov"", ""ru"": "" >AB>2-=0->=C""}","(39.8180999755999991,47.2582015990999977)",Europe/Moscow
AER,"{""en"": ""Sochi International Airport"", ""ru"": ""!>G8""}","{""en"": ""Sochi"", ""ru"": ""!>G8""}","(39.9566001892089986,43.4499015808110016)",Europe/Moscow
VOG,"{""en"": ""Volgograd International Airport"", ""ru"": ""C<@0:""}","{""en"": ""Volgograd"", ""ru"": "">;3>3@04""}","(44.3455009460449219,48.782501220703125)",Europe/Volgograd
BQS,"{""en"": ""Ignatyevo Airport"", ""ru"": ""3=0BL52>""}","{""en"": ""Blagoveschensk"", ""ru"": "";03>25I5=A:""}","(127.412002563476562,50.4253997802734375)",Asia/Yakutsk
